d,trt,plant,date
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-475-J035-HN_2022-06-06_14-48-04.661_7842100,HN,J035,2022-06-06
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-471-J031-HN_2022-07-27_12-28-37.883_8893300,HN,J031,2022-07-27
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-447-J023-HN_2022-07-29_07-14-45.933_8963100,HN,J023,2022-07-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-425-J002-HN_2022-07-01_08-26-41.029_8164400,HN,J002,2022-07-01
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-466-J026-HN_2022-07-15_10-53-27.619_8491700,HN,J026,2022-07-15
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-06-20_08-24-01.989_8038200,LN,J001,2022-06-20
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-05-19_10-43-21.570_7327700,LN,J001,2022-05-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-470-J030-LN_2022-07-13_15-03-08.807_8436000,LN,J030,2022-07-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-475-J035-HN_2022-07-03_10-55-57.715_8210600,HN,J035,2022-07-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-06-16_08-54-09.154_7998600,LN,J020,2022-06-16
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-473-J033-HN_2022-07-15_11-09-32.950_8492400,HN,J033,2022-07-15
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-468-J028-LN_2022-05-21_12-21-35.995_7393200,LN,J028,2022-05-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-432-J009-LN_2022-06-08_12-57-36.270_7872500,LN,J009,2022-06-08
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-472-J032-LN_2022-05-28_11-13-06.960_7599400,LN,J032,2022-05-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-446-J022-LN_2022-07-13_14-08-51.774_8433600,LN,J022,2022-07-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-06-17_09-43-40.938_8011900,HN,J025,2022-06-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-432-J009-LN_2022-05-19_10-57-39.769_7328500,LN,J009,2022-05-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-439-J015-LN_2022-07-05_12-38-16.057_8244800,LN,J015,2022-07-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-475-J035-HN_2022-08-04_08-33-14.983_9191900,HN,J035,2022-08-04
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-04-26_15-32-31.084_6484000,HN,J021,2022-04-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-443-J019-LN_2022-04-21_14-16-16.476_6282500,LN,J019,2022-04-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-05-21_11-19-07.558_7389700,HN,J010,2022-05-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-04-23_14-09-31.944_6363000,LN,J014,2022-04-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-07-27_11-13-33.655_8890700,HN,J021,2022-07-27
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-440-J016-LN_2022-05-03_16-11-23.672_6751400,LN,J016,2022-05-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-472-J032-LN_2022-05-10_14-05-59.542_7027600,LN,J032,2022-05-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-469-J029-LN_2022-06-22_09-46-39.770_8067900,LN,J029,2022-06-22
